Entity,Code,Year,Human Development Index,World region according to OWID,Human Development Index (Original Year)
Samoa,WSM,2020,0.708,Oceania,
San Marino,SMR,2020,0.895,Europe,
Sao Tome and Principe,STP,2020,0.628,Africa,
Saudi Arabia,SAU,2020,0.875,Asia,
Senegal,SEN,2020,0.522,Africa,
Serbia,SRB,2020,0.809,Europe,
Seychelles,SYC,2020,0.853,Africa,
Sierra Leone,SLE,2020,0.454,Africa,
Singapore,SGP,2020,0.944,Asia,
Slovakia,SVK,2020,0.867,Europe,
Slovenia,SVN,2020,0.918,Europe,
Solomon Islands,SLB,2020,0.579,Oceania,
Somalia,SOM,2020,0.385,,2022
South Africa,ZAF,2020,0.724,Africa,
South Korea,KOR,2020,0.928,Asia,
South Sudan,SSD,2020,0.398,Africa,
Spain,ESP,2020,0.901,Europe,
Sri Lanka,LKA,2020,0.78,Asia,
Sudan,SDN,2020,0.513,Africa,
Suriname,SUR,2020,0.714,South America,
Sweden,SWE,2020,0.951,Europe,
Switzerland,CHE,2020,0.963,Europe,
Syria,SYR,2020,0.57,Asia,
Tajikistan,TJK,2020,0.664,Asia,
Tanzania,TZA,2020,0.554,Africa,
Thailand,THA,2020,0.798,Asia,
Togo,TGO,2020,0.554,Africa,
Tonga,TON,2020,0.765,Oceania,
Trinidad and Tobago,TTO,2020,0.8,North America,
Tunisia,TUN,2020,0.733,Africa,
Turkey,TUR,2020,0.838,Asia,
Turkmenistan,TKM,2020,0.744,Asia,
Tuvalu,TUV,2020,0.681,Oceania,
Uganda,UGA,2020,0.571,Africa,
Ukraine,UKR,2020,0.783,Europe,
United Arab Emirates,ARE,2020,0.909,Asia,
United Kingdom,GBR,2020,0.93,Europe,
United States,USA,2020,0.925,North America,
Uruguay,URY,2020,0.837,South America,
Uzbekistan,UZB,2020,0.723,Asia,
Vanuatu,VUT,2020,0.617,Oceania,
Venezuela,VEN,2020,0.699,South America,
Vietnam,VNM,2020,0.755,Asia,
Yemen,YEM,2020,0.459,Asia,
Zambia,ZMB,2020,0.578,Africa,
Zimbabwe,ZWE,2020,0.582,Africa,
